Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,IUC,Não fumador,2º Chave,Consumo Urbano,Inspecção válida até,Consumo Extra Urbano,VIN,Garantia de Fábrica até,Consumo Combinado,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,Consumo,Site,Portugal,Data
Profissional,Fiat,Punto,1.2 Easy S&S,Gasolina,Abril,2015,113 424 km,1 242 cm3,69 cv,,,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,117 g/km,18 Meses,,Nacional,,Usados,7 450,8092109316,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-easy-s-s-ID8PDFic.html,Metalizado,,Sim,Sim,"6,60 l/100km",,"4,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Particular,Renault,Grand Scénic,1.5 dCi Dynamique S SS,Diesel,Março,2016,78 000 km,1 461 cm3,110 cv,,,,Monovolume,Cinzento,Manual,6,5,,,Tracção dianteira,105 g/km,,,Nacional,,Usados,12 500,8092008475,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-dynamique-s-ss-ID8PDf3J.html,Metalizado,,Sim,Sim,"4,50 l/100km",24 Março 2024,"3,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Novembro,2018,122 240 km,1 499 cm3,102 cv,,,Sim,Citadino,Preto,Manual,5,5,5,,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,12 950,8091998150,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-signature-ID8PDcnc.html,,,Sim,Sim,"4,30 l/100km",,"3,30 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Dacia,Lodgy,1.5 dCi Prestige 7L,Diesel,Outubro,2014,196 178 km,1 461 cm3,109 cv,Sim,,Sim,Monovolume,Preto,Manual,6,5,7,Classe 1,Tracção dianteira,105 g/km,18 Meses,,,Sim,Usados,9 490,8092136401,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-prestige-7l-ID8PDMl3.html,Metalizado,,,Sim,"4,30 l/100km",,"3,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Novembro,2019,79 800 km,1 242 cm3,69 cv,Sim,,Sim,Cabrio,Azul,Manual,,2,4,Classe 1,,114 g/km,18 Meses,,Nacional,,Usados,13 900,8091016987,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8Pz57Z.html,Metalizado,"108,32 €",Sim,Sim,,27 Novembro 2025,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Janeiro,2018,120 962 km,1 248 cm3,95 cv,Sim,,Sim,Carrinha,Cinzento,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,,Usados,13 950,8091921284,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8PCSnq.html,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Alfa Romeo,Giulietta,1.6 JTDm,Diesel,Maio,2017,113 000 km,1 598 cm3,120 cv,,,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,147 g/km,18 Meses,,,Sim,Usados,14 900,8091884694,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-ID8PCIRg.html,,,Sim,Sim,"5,80 l/100km",,4 l/100km,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,2008,1.2 PureTech Active,Gasolina,Julho,2016,70 709 km,1 199 cm3,82 cv,,,Sim,SUV / TT,Cinzento,Manual,5,5,5,,Tracção dianteira,131 g/km,18 Meses,1,Nacional,Sim,Usados,12 500,8092072224,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-ID8PDwDV.html,,,Sim,Sim,"5,80 l/100km",21 Junho 2024,"4,20 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,MINI,One,D,Diesel,Dezembro,2014,184 000 km,1 496 cm3,95 cv,Sim,,Sim,Utilitário,Preto,Manual,,3,4,Classe 1,,,18 Meses,,Importado,,Usados,12 500,8091521398,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PBclE.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Dezembro,2015,120 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,2,Importado,,Usados,13 990,8091195406,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PzPxI.html,Metalizado,,Sim,Sim,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Outubro,2014,259 000 km,1 560 cm3,120 cv,,,,Utilitário,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,98 g/km,18 Meses,,,,Usados,9 980,8092065405,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-ID8PDtRX.html,Metalizado,,Sim,Sim,"3,60 l/100km",,3 l/100km,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,2008,1.2 PureTech Allure Grip Control,Gasolina,Fevereiro,2016,81 844 km,1 199 cm3,130 cv,,,,SUV / TT,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,120 g/km,18 Meses,1,Importado,Sim,Usados,13 750,8091932265,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-grip-control-ID8PCWex.html,Metalizado,,Sim,Sim,"6,10 l/100km",,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Outubro,2015,175 000 km,1 461 cm3,90 cv,,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,82 g/km,18 Meses,,Nacional,Sim,Usados,9 490,8091919949,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PCS1T.html,,,,Sim,"3,30 l/100km",27 Outubro 2024,"3,10 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308,1.6 BlueHDi Allure,Diesel,Novembro,2015,238 000 km,1 560 cm3,120 cv,Sim,,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,,,Usados,9 990,8091614520,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-ID8PBAzC.html,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf,1.6 TDi GPS Edition,Diesel,Janeiro,2016,197 102 km,1 598 cm3,110 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,1,Nacional,Sim,Usados,12 990,8092036256,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-gps-edition-ID8PDmhO.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Toyota,Auris Touring Sports,1.4 D-4D C.+P.Techo+P.Sport,Diesel,Setembro,2017,217 178 km,1 364 cm3,90 cv,Sim,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,107 g/km,18 Meses,1,Nacional,Sim,Usados,12 490,8091901089,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-auris-touring-sports-1-4-d-4d-c-p-techo-p-sport-ID8PCN7H.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Março,2019,147 771 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,13 290,8091901045,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCN6Z.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Grand Scénic,1.6 dCi Intens SS,Diesel,Maio,2018,230 459 km,1 598 cm3,130 cv,Sim,Sim,Sim,Monovolume,Preto,Manual,6,5,7,Classe 1,Tracção dianteira,119 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900493,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-6-dci-intens-ss-ID8PCMY5.html,Metalizado,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Janeiro,2019,167 584 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,12 690,8091900453,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCMXr.html,Metalizado,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2020,187 953 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900984,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PCN60.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Março,2019,97 057 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,13 690,8091900664,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCN0Q.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Audi,A3 Sportback,1.6 TDI,Diesel,Novembro,2018,205 257 km,1 598 cm3,116 cv,Sim,Sim,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,106 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900604,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-ID8PCMZS.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,MINI,One,D,Diesel,Dezembro,2014,184 000 km,1 496 cm3,95 cv,Sim,,Sim,Utilitário,Preto,Manual,,3,4,Classe 1,,,18 Meses,,Importado,,Usados,12 500,8091521398,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PBclE.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Dezembro,2015,120 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,2,Importado,,Usados,13 990,8091195406,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PzPxI.html,Metalizado,,Sim,Sim,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Outubro,2014,259 000 km,1 560 cm3,120 cv,,,,Utilitário,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,98 g/km,18 Meses,,,,Usados,9 980,8092065405,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-ID8PDtRX.html,Metalizado,,Sim,Sim,"3,60 l/100km",,3 l/100km,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,2008,1.2 PureTech Allure Grip Control,Gasolina,Fevereiro,2016,81 844 km,1 199 cm3,130 cv,,,,SUV / TT,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,120 g/km,18 Meses,1,Importado,Sim,Usados,13 750,8091932265,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-grip-control-ID8PCWex.html,Metalizado,,Sim,Sim,"6,10 l/100km",,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Outubro,2015,175 000 km,1 461 cm3,90 cv,,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,82 g/km,18 Meses,,Nacional,Sim,Usados,9 490,8091919949,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PCS1T.html,,,,Sim,"3,30 l/100km",27 Outubro 2024,"3,10 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308,1.6 BlueHDi Allure,Diesel,Novembro,2015,238 000 km,1 560 cm3,120 cv,Sim,,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,,,Usados,9 990,8091614520,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-ID8PBAzC.html,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf,1.6 TDi GPS Edition,Diesel,Janeiro,2016,197 102 km,1 598 cm3,110 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,1,Nacional,Sim,Usados,12 990,8092036256,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-gps-edition-ID8PDmhO.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Toyota,Auris Touring Sports,1.4 D-4D C.+P.Techo+P.Sport,Diesel,Setembro,2017,217 178 km,1 364 cm3,90 cv,Sim,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,107 g/km,18 Meses,1,Nacional,Sim,Usados,12 490,8091901089,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-auris-touring-sports-1-4-d-4d-c-p-techo-p-sport-ID8PCN7H.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Março,2019,147 771 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,13 290,8091901045,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCN6Z.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Grand Scénic,1.6 dCi Intens SS,Diesel,Maio,2018,230 459 km,1 598 cm3,130 cv,Sim,Sim,Sim,Monovolume,Preto,Manual,6,5,7,Classe 1,Tracção dianteira,119 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900493,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-6-dci-intens-ss-ID8PCMY5.html,Metalizado,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Janeiro,2019,167 584 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,12 690,8091900453,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCMXr.html,Metalizado,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2020,187 953 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900984,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PCN60.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen,Diesel,Março,2019,97 057 km,1 461 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,1,Nacional,Sim,Usados,13 690,8091900664,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-ID8PCN0Q.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Audi,A3 Sportback,1.6 TDI,Diesel,Novembro,2018,205 257 km,1 598 cm3,116 cv,Sim,Sim,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,106 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900604,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-ID8PCMZS.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Novembro,2018,221 406 km,1 598 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,112 g/km,18 Meses,1,Nacional,Sim,Usados,11 890,8091900279,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-business-edition-ID8PCMUD.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf Variant,1.6 TDi Confortline DSG,Diesel,Agosto,2018,237 435 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,137 g/km,18 Meses,1,Nacional,Sim,Usados,11 990,8091900564,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-dsg-ID8PCMZe.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Dacia,Logan MCV,0.9 TCe Comfort,Gasolina,Outubro,2016,81 000 km,898 cm3,90 cv,,,Sim,Carrinha,Branco,Manual,5,5,5,Classe 1,,,18 Meses,,Nacional,,Usados,10 500,8091875282,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-comfort-ID8PCGps.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Kia,Picanto,,Gasolina,Fevereiro,2019,34 940 km,998 cm3,67 cv,,Sim,Sim,Citadino,Laranja,Manual,5,5,5,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,Sim,Usados,11 750,8092104363,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-picanto-ID8PDE0j.html,,,Sim,Sim,,2 Fevereiro 2025,,,2 Fevereiro 2026,4 l/100km,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Feel Business,Diesel,Março,2017,149 000 km,1 560 cm3,100 cv,,Sim,Sim,Citadino,Vermelho,Manual,5,5,5,Classe 1,Tracção dianteira,82 g/km,18 Meses,1,,,Usados,12 900,8091933994,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-feel-business-ID8PCWGq.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Julho,2015,127 000 km,1 560 cm3,120 cv,,,,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,85 g/km,18 Meses,,,,Usados,13 450,8091759811,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PCcn1.html,Pérola,,Sim,Sim,"4,70 l/100km",,"3,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Março,2017,129 701 km,1 461 cm3,90 cv,Sim,,,Utilitário,Branco,Manual,5,5,5,Classe 1,,,18 Meses,1,Nacional,,Usados,14 950,8091396456,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-edition-ID8PAFQs.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
