Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Inspecção válida até,Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Possibilidade de financiamento,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Filtro de partículas,IUC,IVA Discriminado,Sub-modelo,Clássico,ou até,Consumo Combinado,Gancho de Reboque,Autonomia,Bateria,Consumo,Valor sem ISV,Capacidade da bateria,Site,Portugal,Data
Profissional,MINI,Countryman,One D,Diesel,Julho,2013,149 900 km,1 598 cm3,90 cv,,SUV / TT,Preto,Metalizado,Manual,,5,,,,,,15/07/2024,1,,Sim,Sim,Sim,"4,70 l/100km",,Usados,13 500        EUR,8090662287,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PxAR1.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,BMW,114,d Line Sport,Diesel,Abril,2013,203 000 km,1 598 cm3,95 cv,Sim,Citadino,Branco,,Manual,,5,5,,Tracção dianteira,,,12/04/2024,,Nacional,,,,,,Usados,10 250        EUR,8090715852,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-d-line-sport-ID8PxOMY.html,Sim,Sim,,36 Meses,,,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,MINI,Cooper,,Diesel,Outubro,2010,202 687 km,1 560 cm3,110 cv,Sim,Utilitário,Preto,,Manual,6,3,4,Classe 1,,,,,1,,,,Sim,,,Usados,12 450        EUR,8090609901,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-ID8Pxne5.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,BMW,318,d Touring Luxury Line,Diesel,Agosto,2011,252 000 km,1 995 cm3,143 cv,,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,,,,1,,,Sim,Sim,"5,60 l/100km",,Usados,12 900        EUR,8090662283,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-luxury-line-ID8PxAQX.html,,Sim,,18 Meses,Sim,,,Série 3,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Dacia,Logan MCV,0.9 TCe Confort,Gasolina,Abril,2016,63 398 km,898 cm3,90 cv,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,,,,,1,,,,,,,Usados,11 990        EUR,8090662282,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-confort-ID8PxAQV.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Mégane,1.5 dCi Dynamique,Diesel,Maio,2010,213 341 km,1 461 cm3,90 cv,,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,,,,,1,,,,Sim,,,Usados,7 950        EUR,8090155278,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-dynamique-ID8PwsXs.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Nissan,Juke,1.5 dCi Tekna Sport,Diesel,Outubro,2010,214 000 km,1 461 cm3,110 cv,,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,,,1,Nacional,,,Sim,,,Usados,11 950        EUR,8089944251,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-ID8PuA3N.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,New Beetle,,Diesel,Julho,2013,214 329 km,1 958 cm3,105 cv,,Citadino,Preto,,Manual,,3,4,Classe 1,,,,,1,,,Sim,Sim,,,Usados,12 890        EUR,8087716843,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-new-beetle-ID8PleBR.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Dezembro,2017,102 000 km,1 199 cm3,82 cv,Sim,SUV / TT,Preto,Metalizado,Manual,,5,5,Classe 1,,,,,,Nacional,Sim,,Sim,,,Usados,13 990        EUR,8089095214,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8Pr1bE.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Julho,2019,87 000 km,1 242 cm3,69 cv,Sim,Utilitário,Branco,,Manual,5,3,4,Classe 1,,,,,,Nacional,,,Sim,,,Usados,12 950        EUR,8090703165,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PxLul.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,SEAT,Ibiza,1.6 TDI Reference,Diesel,Abril,2018,143 000 km,1 598 cm3,95 cv,Sim,Utilitário,Cinzento,,Manual,,5,5,Classe 1,,,,,,Nacional,Sim,,Sim,,,Usados,13 990        EUR,8089566242,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-reference-ID8PsZIS.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2018,101 000 km,1 242 cm3,69 cv,Sim,Citadino,Cinzento,,Manual,,3,4,Classe 1,,,,,,Nacional,Sim,,Sim,,,Usados,12 990        EUR,8089566235,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PsZIL.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Audi,A3,1.6 TDI Sport,Diesel,Outubro,2013,181 000 km,1 598 cm3,110 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,,3,5,Classe 1,Tracção dianteira,,99 g/km,,1,,,,Sim,"4,60 l/100km",,Usados,14 750        EUR,8089971143,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-1-6-tdi-sport-ID8PuH3x.html,Sim,Sim,,18 Meses,,147 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Citroën,C1,1.2 VTi Feel,Gasolina,Junho,2015,121 000 km,1 199 cm3,82 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,,,,,,,,Usados,7 990        EUR,8090333027,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-2-vti-feel-ID8Pvdcn.html,Sim,Sim,,24 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,KA,1.2 City,Gasolina,Outubro,2010,156 000 km,1 242 cm3,69 cv,Sim,Citadino,Branco,,Manual,5,3,4,Classe 1,Tracção dianteira,,115 g/km,13/10/2024,,Importado,,Sim,Sim,"5,80 l/100km","4,40 l/100km",Usados,5 450        EUR,8090585660,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-city-ID8PxgW6.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Smart,ForTwo Coupé,,Gasolina,Maio,2019,72 000 km,898 cm3,90 cv,Sim,Coupé,Preto,,Automática,6,3,2,Classe 1,,,,,,,,,,,,Usados,13 990        EUR,8089094856,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8Pr15S.html,Sim,Sim,,24 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Chevrolet,Spark,1.0 LS,Gasolina,Junho,2010,115 000 km,995 cm3,68 cv,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,119 g/km,13/06/2024,,Nacional,,,Sim,"6,60 l/100km","4,20 l/100km",Usados,5 750        EUR,8090585469,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-spark-1-0-ls-ID8PxgS1.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Astra,1.6 CDTi Cosmo Start/Stop,Diesel,Janeiro,2015,278 000 km,1 598 cm3,110 cv,,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,1,Nacional,Sim,Sim,Sim,"3,90 l/100km",,Usados,8 890        EUR,8090604434,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-cosmo-start-stop-ID8PxlNU.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Maio,2017,99 000 km,1 560 cm3,75 cv,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,,,1,Nacional,Sim,Sim,Sim,,,Usados,11 990        EUR,8090603979,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8PxlGz.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,158 209 km,1 248 cm3,95 cv,Sim,Utilitário,Preto,,Manual,,5,5,,Tracção dianteira,,,,1,Nacional,Sim,Sim,,,,Usados,12 490        EUR,8087635825,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PkTx7.html,,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Dezembro,2017,218 664 km,1 598 cm3,115 cv,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,,,,1,Nacional,Sim,Sim,,,,Usados,12 590        EUR,8088364677,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PnX8N.html,,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Fiat,500X,1.6 MJ Cross Plus S&S,Diesel,Fevereiro,2017,133 500 km,1 598 cm3,120 cv,,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,109 g/km,01/02/2024,,Nacional,Sim,Sim,Sim,"4,70 l/100km","3,80 l/100km",Usados,14 750        EUR,8090326385,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-6-mj-cross-plus-s-s-ID8Pvbtf.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio Sport Tourer,1.5 dCi Dynamique S 90g,Diesel,Agosto,2015,103 000 km,1 461 cm3,90 cv,,Carrinha,Branco,,Manual,5,5,5,Classe 1,,,,01/08/2024,,,,Sim,Sim,,,Usados,11 990        EUR,8088913719,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-dynamique-s-90g-ID8PqfYj.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Alfa Romeo,MiTo,1.3 JTDM Super,Diesel,Maio,2017,123 000 km,1 248 cm3,95 cv,,Utilitário,Preto,,Manual,,3,5,,Tracção dianteira,,,01/05/2025,,,,,,,,Usados,12 850        EUR,8088132001,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-super-ID8PmYBX.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Junho,2015,89 500 km,898 cm3,90 cv,,SUV / TT,Bege,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,146 g/km,03/06/2024,1,Nacional,,Sim,Sim,"6,30 l/100km","4,80 l/100km",Usados,13 490        EUR,8090702583,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PxLkX.html,,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,VW,Passat,1.6 TDI BlueMotion,Diesel,Abril,2010,227 000 km,1 598 cm3,105 cv,,Carrinha,Preto,,Manual,5,4,5,Classe 1,Tracção dianteira,,109 g/km,12/04/2024,,Nacional,,,,5 l/100km,"3,60 l/100km",Usados,8 900        EUR,8090617781,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-1-6-tdi-bluemotion-ID8Pxphb.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Setembro,2015,112 871 km,1 199 cm3,110 cv,,Utilitário,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,,103 g/km,,,Nacional,,Sim,Sim,,,Usados,14 190        EUR,8090099626,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PwetQ.html,Sim,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,Tourneo Courier,,Diesel,Março,2016,110 000 km,1 498 cm3,100 cv,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,01/03/2024,,Importado,Sim,,Sim,,,Usados,14 250        EUR,8090586636,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-tourneo-courier-ID8PxhaQ.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,Fiesta,1.1 Ti-VCT Business,Gasolina,Junho,2018,80 000 km,1 084 cm3,85 cv,Sim,Citadino,Branco,Mate,Manual,5,5,5,Classe 1,Tracção dianteira,,134 g/km,20/06/2024,1,Nacional,,,Sim,"6,40 l/100km","4,30 l/100km",Usados,12 750        EUR,8090086217,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-business-ID8PwaZz.html,,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Maio,2020,48 000 km,1 199 cm3,75 cv,,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,119 g/km,,1,Nacional,,Sim,Sim,"4,80 l/100km","3,70 l/100km",Usados,14 490        EUR,8089983258,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-edition-ID8PuKcV.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Nissan,Pulsar,1.5 dCi Acenta,Diesel,Junho,2016,95 800 km,1 461 cm3,110 cv,,Utilitário,Branco,Metalizado,Manual,,5,5,,,,94 g/km,,,Nacional,,,Sim,,,Usados,13 900        EUR,8090412380,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-acenta-ID8PvxQg.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Julho,2019,116 000 km,999 cm3,100 cv,,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,118 g/km,,1,,Sim,Sim,Sim,,,Usados,13 990        EUR,8090611319,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8PxnAX.html,Sim,Sim,,18 Meses,,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Toyota,Yaris,1.0 VVT-i Comfort +PS Style+P.Techno,Gasolina,Julho,2016,109 500 km,998 cm3,69 cv,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,99 g/km,25/07/2024,2,Nacional,Sim,Sim,Sim,"5,20 l/100km","3,80 l/100km",Usados,11 900        EUR,8090715288,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-ps-style-p-techno-ID8PxODS.html,,,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure,Diesel,Setembro,2018,205 714 km,1 499 cm3,130 cv,Sim,Carrinha,Cinzento,,Manual,,5,5,,,,,,,Nacional,Sim,,Sim,,,Usados,14 940        EUR,8088033216,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-ID8PmyUE.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Dezembro,2016,121 512 km,1 461 cm3,90 cv,Sim,Carrinha,Prateado,,Manual,,5,5,,,,,,,Nacional,Sim,,Sim,,,Usados,12 970        EUR,8090449408,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PvHtu.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,208,1.6 BlueHDi Access,Diesel,Agosto,2018,226 750 km,1 560 cm3,75 cv,Sim,Citadino,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,,90 g/km,,1,Nacional,Sim,Sim,,,,Usados,9 990        EUR,8089169198,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-access-ID8PrkqV.html,,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Nissan,Leaf,Visia Flex,Eléctrico,Abril,2013,100 000 km,,109 cv,,Citadino,Azul,,Automática,,5,5,,,,,,,,,Sim,,,,Usados,11 950        EUR,8089989107,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-visia-flex-ID8PuLJh.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Mégane,1.5 dCi Dynamique S,Diesel,Outubro,2011,182 000 km,1 461 cm3,110 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,,,,,,,1,,,Sim,Sim,"5,60 l/100km",,Usados,6 990        EUR,8090661986,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-dynamique-s-ID8PxAMa.html,,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Abril,2018,69 000 km,999 cm3,71 cv,Sim,Citadino,Branco,,Manual,,5,4,Classe 1,,,108 g/km,,,,,Sim,Sim,,,Usados,12 490        EUR,8090148072,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8Pwr5e.html,Sim,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
