Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Aceita retoma,2º Chave,IUC,Consumo Combinado,Inspecção válida até,Sub-modelo,Autonomia Máxima,Autonomia,Bateria,ou até,Garantia de Fábrica até,Clássico,Consumo,Gancho de Reboque,Capacidade da bateria,Valor sem ISV,Site,Portugal,Data
Profissional,Opel,Karl,1.0 FlexFuel,GPL,Agosto,2016,118 087 km,999 cm3,75 cv,Sim,,Sim,Utilitário,Outra,Manual,,5,,,,93 g/km,18 Meses,,Nacional,,,Usados,9 990        EUR,8090691341,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-karl-1-0-flexfuel-ID8PxIpD.html,,"7,10 l/100km","4,90 l/100km",,Sim,,,"5,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mazda,3,1.5 Sky-D Excellence,Diesel,Outubro,2016,115 760 km,1 499 cm3,105 cv,Sim,,Sim,Utilitário,Preto,Manual,,5,5,,,99 g/km,18 Meses,,Nacional,,,Usados,14 490        EUR,8090691342,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-3-1-5-sky-d-excellence-ID8PxIpE.html,,"4,30 l/100km","3,50 l/100km",,Sim,,,"3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Fevereiro,2020,82 755 km,998 cm3,72 cv,Sim,,Sim,Utilitário,Preto,Manual,5,5,4,Classe 1,,,18 Meses,1,Importado,,Sim,Usados,13 490        EUR,8089347030,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8Ps4Hc.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,208,1.5 BlueHDi Allure,Diesel,Novembro,2018,146 000 km,1 499 cm3,102 cv,,,Sim,Citadino,Vermelho,Manual,6,5,5,Classe 1,Tracção dianteira,,36 Meses,1,Importado,Sim,Sim,Usados,14 500        EUR,8090003496,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-allure-ID8PuPtm.html,Pérola,"4,30 l/100km",,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Up!,1.0 BMT Move,Gasolina,Março,2017,60 363 km,999 cm3,60 cv,Sim,,Sim,Pequeno citadino,Branco,Manual,,5,4,Classe 1,,,18 Meses,,Importado,,Sim,Usados,11 250        EUR,8089117235,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bmt-move-ID8Pr6UP.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 200,CDi Avantgarde BlueEfficiency,Diesel,Março,2012,379 000 km,2 143 cm3,136 cv,Sim,,Sim,Carrinha,Preto,Manual,6,5,5,,,,18 Meses,2,Importado,Sim,Sim,Usados,11 950        EUR,8090584745,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-200-cdi-avantgarde-blueefficiency-ID8PxgGl.html,Metalizado,"7,30 l/100km",,,Sim,,,,,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,508 SW,1.6 BlueHDi Allure J18,Diesel,Janeiro,2014,170 000 km,1 560 cm3,120 cv,Sim,,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,Usados,11 998        EUR,8090483287,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-allure-j18-ID8PvQhW.html,Metalizado,,,Sim,Sim,Sim,156 €,,12/01/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Pulsar,1.2 DIG-T Acenta,Gasolina,Janeiro,2017,72 342 km,1 197 cm3,115 cv,Sim,,Sim,Utilitário,Vermelho,Manual,,5,5,,,,18 Meses,,Nacional,,,Usados,13 900        EUR,8090087603,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-2-dig-t-acenta-ID8PwblW.html,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,0.9 TCE Dynamique S,Gasolina,Dezembro,2016,58 000 km,898 cm3,90 cv,,,Sim,Citadino,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,104 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,13 999        EUR,8090192257,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-dynamique-s-ID8PwCzT.html,Metalizado,"5,70 l/100km",4 l/100km,,Sim,Sim,,,30/12/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Meriva,1.6 CDTi S/S,Diesel,Julho,2016,105 000 km,1 598 cm3,110 cv,,,Sim,Monovolume,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,99 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,13 800        EUR,8090240637,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-meriva-1-6-cdti-s-s-ID8PwPad.html,Metalizado,"4,50 l/100km","3,70 l/100km",,Sim,Sim,"154,12 €",,30/07/2024,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C1 Airscape,1.2 VTi Shine,Gasolina,Julho,2016,42 000 km,1 199 cm3,82 cv,,,Sim,Citadino,Branco,Manual,5,5,4,Classe 1,Tracção dianteira,99 g/km,18 Meses,1,,Sim,Sim,Usados,12 600        EUR,8090250272,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-airscape-1-2-vti-shine-ID8PwRFC.html,Pérola,"5,40 l/100km","3,70 l/100km",,Sim,Sim,,,30/07/2024,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique S CO2 Champion,Diesel,Outubro,2010,190 000 km,1 461 cm3,110 cv,,,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,106 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,9 150        EUR,8090229401,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-dynamique-s-co2-champion-ID8PwMeZ.html,Metalizado,"4,90 l/100km","3,50 l/100km",,Sim,Sim,140 €,,30/10/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,1.0 mhd Pure 61 Softouch,Gasolina,Janeiro,2012,156 000 km,999 cm3,61 cv,Sim,,Sim,Pequeno citadino,Branco,Automática,,3,2,,,,18 Meses,2,Importado,Sim,Sim,Usados,7 250        EUR,8089999699,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-pure-61-softouch-ID8PuOu7.html,Metalizado,"4,60 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Toyota,Yaris,1.4 D-4D AC,Diesel,Maio,2011,167 000 km,1 364 cm3,90 cv,,,Sim,Citadino,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,110 g/km,18 Meses,,Importado,,Sim,Usados,8 250        EUR,8090618932,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-ac-ID8PxpzK.html,,"5,10 l/100km","3,60 l/100km",,Sim,Sim,154 €,,06/05/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Jaguar,XF,2.7 D V6 Premium Luxury,Diesel,Março,2010,186 000 km,2 720 cm3,207 cv,,,,Sedan,Cinzento,Automática,6,4,5,Classe 1,Tracção traseira,199 g/km,,,Nacional,Sim,Sim,Usados,12 590        EUR,8089998471,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xf-2-7-d-v6-premium-luxury-ID8PuOaj.html,,"10,40 l/100km","5,80 l/100km",,,Sim,,,02/03/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane,1.5 dCi Dynamique S,Diesel,Março,2010,226 000 km,1 461 cm3,110 cv,,,Sim,Sedan,Prateado,Manual,6,5,5,Classe 1,Tracção dianteira,114 g/km,18 Meses,1,,Sim,Sim,Usados,8 850        EUR,8090229414,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-dynamique-s-ID8PwMfc.html,Metalizado,"5,60 l/100km",4 l/100km,,Sim,Sim,140 €,,,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,2008,1.2 PureTech Active,Gasolina,Outubro,2018,53 000 km,1 199 cm3,82 cv,Sim,,Sim,SUV / TT,Verde,Manual,5,5,5,,Tracção dianteira,114 g/km,18 Meses,,Nacional,Sim,Sim,Usados,14 900        EUR,8089628055,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-ID8PtfNR.html,,6 l/100km,"4,30 l/100km",,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308,1.2 VTi Active,Gasolina,Outubro,2014,159 000 km,1 199 cm3,82 cv,Sim,,Sim,Utilitário,Cinzento,Manual,5,5,5,,,,18 Meses,1,,Sim,Sim,Usados,12 250        EUR,8088507992,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-vti-active-ID8Poyqk.html,Metalizado,"5,50 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,118,d,Diesel,Agosto,2010,182 000 km,1 995 cm3,143 cv,Sim,,Sim,Cabrio,Preto,Manual,6,3,4,,,,18 Meses,2,,Sim,Sim,Usados,12 950        EUR,8089159028,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-ID8PrhMU.html,Metalizado,"5,40 l/100km",,Sim,Sim,Sim,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Cabrio,Cooper,Gasolina,Junho,2010,167 014 km,1 598 cm3,122 cv,Sim,,Sim,Cabrio,Branco,Manual,6,3,4,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,Usados,12 800        EUR,8089100897,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-ID8Pr2Fj.html,Pérola,"7,20 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Abarth,500,1.4 T-Jet Elaborazione,Gasolina,Junho,2012,177 000 km,1 368 cm3,135 cv,Sim,,Sim,Citadino,Vermelho,Manual,5,3,4,,,,18 Meses,2,Importado,Sim,Sim,Usados,13 950        EUR,8090111666,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-elaborazione-ID8PwhC2.html,Metalizado,"8,50 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,1.5 dCi Comfort,Diesel,Junho,2014,190 000 km,1 461 cm3,75 cv,,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,Usados,9 790        EUR,8090691328,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-comfort-ID8PxIpq.html,Metalizado,"4,30 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Astra Sports Tourer,1.0 120 Anos S/S,Gasolina,Março,2019,92 200 km,999 cm3,105 cv,Sim,,,Carrinha,Prateado,Manual,5,5,5,Classe 1,,,18 Meses,,Nacional,,,Usados,14 790        EUR,8088688048,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-120-anos-s-s-ID8Ppjgs.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,114,d Advantage,Diesel,Junho,2017,241 890 km,1 496 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,Tracção traseira,,18 Meses,1,Nacional,Sim,Sim,Usados,11 490        EUR,8088535360,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-d-advantage-ID8PoFxK.html,,,,,,,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Kia,Ceed,S Coupé 1.6 CRDi TX ISG,Diesel,Setembro,2011,219 000 km,1 582 cm3,128 cv,Sim,,,Coupé,Branco,Manual,6,3,,Classe 1,Tracção dianteira,117 g/km,,1,Nacional,,Sim,Usados,8 790        EUR,8089555280,24 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-s-coup-1-6-crdi-tx-isg-ID8PsVS4.html,,5 l/100km,"4,20 l/100km",,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,Electric Drive Passion,Eléctrico,Janeiro,2013,80 000 km,,75 cv,Sim,Sim,Sim,Pequeno citadino,Branco,Automática,5,2,2,Classe 1,Tracção traseira,,18 Meses,1,Importado,,Sim,Usados,9 990        EUR,8038992981,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-passion-ID8M2Nj7.html,Mate,,,,Sim,Sim,,,,,120 km,120 km,Própria,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,508 SW,1.6 BlueHDi Access,Diesel,Março,2018,246 979 km,1 560 cm3,120 cv,Sim,Sim,Sim,Carrinha,Preto,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,12 390        EUR,8090619689,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-access-ID8PxpLX.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Dezembro,2016,73 375 km,898 cm3,90 cv,,,Sim,SUV / TT,Vermelho,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,,,Usados,14 750        EUR,8090321567,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8Pvadx.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Cabrio,Cooper D,Diesel,Setembro,2011,150 000 km,1 598 cm3,112 cv,,,Sim,Cabrio,Bege,Manual,6,3,4,Classe 1,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,12 490        EUR,8090691318,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-d-ID8PxIpg.html,Metalizado,"4,50 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Julho,2018,132 500 km,1 461 cm3,90 cv,,Sim,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,,,18 Meses,1,,Sim,Sim,Usados,13 999        EUR,8089839337,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8Pu8LD.html,Metalizado,"4,30 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Ford,KA,1.2 Titanium,Gasolina,Janeiro,2011,184 000 km,1 242 cm3,69 cv,Sim,,Sim,Citadino,Prateado,Manual,5,3,4,,,,18 Meses,,Importado,,,Usados,5 900        EUR,8089958597,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-ID8PuDNb.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C1,1.0 VTi Feel S&S,Gasolina,Junho,2017,99 801 km,998 cm3,68 cv,Sim,,Sim,Pequeno citadino,Preto,Manual,5,5,4,Classe 1,,,18 Meses,1,Nacional,,,Usados,9 990        EUR,8089780024,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-s-s-ID8PtTkY.html,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,2008,1.2 VTi Active,Gasolina,Novembro,2014,97 000 km,1 199 cm3,82 cv,Sim,,Sim,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,10 750        EUR,8090691316,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-vti-active-ID8PxIpe.html,Metalizado,,,,Sim,Sim,,,17/11/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Renault,Captur,0.9 TCE,Gasolina,Abril,2018,42 232 km,898 cm3,90 cv,Sim,,,SUV / TT,Azul,Manual,5,5,5,Classe 1,Tracção dianteira,113 g/km,,2,Nacional,,Sim,Usados,14 990        EUR,8090525166,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-ID8Px1bo.html,,"5,90 l/100km","4,30 l/100km",,,Sim,,,24/04/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Maio,2015,103 627 km,1 461 cm3,90 cv,Sim,,Sim,Citadino,Vermelho,Manual,,5,5,,,,18 Meses,,,,,Usados,10 499        EUR,8090298160,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-confort-ID8Pv480.html,Metalizado,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Peugeot,508 RXH,,Híbrido (Diesel),Março,2012,276 000 km,1 997 cm3,200 cv,Sim,,,Carrinha,Castanho,Automática,6,5,5,Classe 1,Integral,107 g/km,,,Importado,,Sim,Usados,8 990        EUR,8089341342,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-rxh-ID8Ps3ds.html,Metalizado,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Clio Sport Tourer,1.5 dCi Zen,Diesel,Março,2017,209 000 km,1 461 cm3,90 cv,,Sim,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,36 Meses,1,Nacional,Sim,Sim,Usados,8 850        EUR,8090584661,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-zen-ID8PxgEZ.html,Metalizado,"4,30 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Peugeot,308 SW,,Diesel,Dezembro,2015,214 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Preto,Manual,,5,,,,,,,,,,Usados,8 950        EUR,8090691304,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8PxIp2.html,,"4,40 l/100km",,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Mercedes-Benz,C 350,,Diesel,Janeiro,2010,412 000 km,2 987 cm3,231 cv,,,,Coupé,Preto,Manual,,4,,,,,,1,Nacional,Sim,Sim,Usados,12 000        EUR,8090690998,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-350-ID8PxIk6.html,,,,,,Sim,,,,Classe C,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Setembro,2016,190 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Preto,Manual,,5,5,,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,13 900        EUR,8090584662,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PxgF0.html,,,,,Sim,Sim,,,01/09/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
