Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Tracção,IUC,Filtro de partículas,Consumo Urbano,Emissões CO2,Registo(s),IVA Discriminado,Autonomia Máxima,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,Sub-modelo,Gancho de Reboque,Clássico,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Renault,Clio,Gasolina,Abril,2014,93 000 km,898 cm3,90 cv,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,10 500        EUR,8090608290,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-dynamique-s-ID8PxmO6.html,0.9 TCE Dynamique S,,,,,,,,,,,24/04/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Junho,2016,115 000 km,1 461 cm3,75 cv,Sim,Sim,Citadino,Branco,,Manual,,5,5,,18 Meses,Nacional,,,,Usados,11 900        EUR,8090474270,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PvNVu.html,1.5 dCi Zen,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Dacia,Duster,Diesel,Março,2011,162 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,9 999        EUR,8090585519,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-dci-confort-cuir-ID8PxgSP.html,1.5 dCi Confort Cuir,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Honda,Insight,Híbrido (Gasolina),Agosto,2010,200 000 km,1 339 cm3,88 cv,Sim,,Citadino,Cinzento,,Automática,,5,5,Classe 1,18 Meses,Nacional,,,Sim,Usados,8 250        EUR,8090608285,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-insight-ID8PxmO1.html,,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Toyota,Yaris,Gasolina,Setembro,2019,30 000 km,1 496 cm3,111 cv,,,Utilitário,Azul,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 990        EUR,8090608207,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-vvt-ie-gsport-ID8PxmML.html,1.5 VVT-iE GSport,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C4 Cactus,Diesel,Setembro,2014,139 500 km,1 560 cm3,92 cv,Sim,Sim,Citadino,Castanho,,Automática,,5,5,,18 Meses,,,,,Usados,13 900        EUR,8090540221,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-e-hdi-feel-etg6-ID8Px56d.html,1.6 e-HDi Feel ETG6,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Peugeot,5008,Diesel,Março,2010,217 000 km,1 560 cm3,110 cv,,,SUV / TT,Branco,Pérola,Automática,6,5,7,Classe 1,,Nacional,,Sim,Sim,Usados,10 500        EUR,8090601929,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-hdi-sport-cmp6-ID8Pxl9w.html,1.6 HDi Sport CMP6,,Tracção dianteira,,,"6,40 l/100km",140 g/km,,,,"4,80 l/100km",10/03/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500,Gasolina,Setembro,2017,95 800 km,875 cm3,85 cv,,Sim,Pequeno citadino,Branco,,Manual,,3,,,18 Meses,,,,,Usados,12 900        EUR,8088132266,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-twinair-lounge-ID8PmYGe.html,0.9 TwinAir Lounge,Sim,,,,"6,10 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500C,Gasolina,Março,2015,60 000 km,1 242 cm3,69 cv,Sim,Sim,Cabrio,Cinzento,Metalizado,Manual,5,2,4,,18 Meses,,,Sim,Sim,Usados,12 950        EUR,8089783798,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-s-ID8PtUjQ.html,1.2 S,,Tracção dianteira,,,"6,60 l/100km",139 g/km,,,,"4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Opel,Corsa,Diesel,Maio,2017,80 000 km,1 248 cm3,95 cv,,Sim,Sedan,Cinzento,,Automática,,5,5,,18 Meses,,,,,Usados,13 990        EUR,8089277405,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-dynamic-easytronic-ID8PrMAd.html,1.3 CDTi Dynamic Easytronic,Sim,,,,"3,40 l/100km",90 g/km,,,,"3,10 l/100km",,"3,10 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio Sport Tourer,Diesel,Junho,2017,137 136 km,1 461 cm3,90 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,24 Meses,Nacional,Sim,Sim,Sim,Usados,12 900        EUR,8086447872,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-zen-ID8PfUuA.html,1.5 dCi Zen,Sim,Tracção dianteira,"147,21 €",,"3,30 l/100km",82 g/km,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Up!,Gasolina,Julho,2015,98 000 km,999 cm3,60 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,4,,18 Meses,,,Sim,Sim,Usados,9 450        EUR,8089814203,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-take-ID8Pu2ef.html,1.0 Take,,Tracção dianteira,,,"5,60 l/100km",105 g/km,,,,"3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Polo,Gasolina,Agosto,2018,54 000 km,999 cm3,75 cv,,,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,Sim,,Sim,Usados,14 500        EUR,8090450149,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PvHFr.html,1.0 Confortline,,Tracção dianteira,,,"5,90 l/100km",108 g/km,1,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Opel,Astra Sports Tourer,Diesel,Fevereiro,2016,70 450 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 450        EUR,8090604373,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-sj18-ID8PxlMW.html,1.6 CDTi Cosmo S/SJ18,,Tracção dianteira,,,"4,40 l/100km",105 g/km,1,,,"3,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Kia,Ceed SW,Diesel,Julho,2013,108 000 km,1 396 cm3,90 cv,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,12 500        EUR,8090477477,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-4-crdi-prime-ID8PvOMd.html,1.4 CRDi Prime,,Tracção dianteira,,Sim,5 l/100km,112 g/km,1,,,"3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Nissan,Juke,Diesel,Dezembro,2014,128 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,13 980        EUR,8088483667,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-129g-ID8Pos5Z.html,1.5 dCi Tekna Sport 129g,,Tracção dianteira,,,"5,90 l/100km",,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Dacia,Logan MCV,Gasolina,Dezembro,2018,44 000 km,898 cm3,90 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,13 980        EUR,8088685128,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-stepway-ID8Ppiwm.html,0.9 TCe Stepway,,Tracção dianteira,,,"6,60 l/100km",,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,508,Diesel,Março,2012,276 000 km,1 560 cm3,112 cv,Sim,Sim,Carrinha,Preto,,Manual,6,4,5,Classe 1,36 Meses,,,Sim,,Usados,9 990        EUR,8090608172,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-1-6-hdi-active-ID8PxmMc.html,1.6 HDi Active,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Fevereiro,2019,150 459 km,1 461 cm3,75 cv,,,Citadino,Cinzento,,Manual,,5,5,,18 Meses,,,,,Usados,13 950        EUR,8088671501,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8PpeXz.html,,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,500C,Gasolina,Junho,2019,58 613 km,1 242 cm3,69 cv,,,Pequeno citadino,Cinzento,,Manual,,2,4,,18 Meses,,,Sim,,Usados,14 850        EUR,8088852416,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8Pq01y.html,1.2 Lounge,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Citroën,C4 Cactus,Gasolina,Junho,2017,80 393 km,1 199 cm3,82 cv,,,SUV / TT,Preto,Metalizado,Automática,6,5,5,,,,Sim,Sim,Sim,Usados,12 690        EUR,8090573945,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8PxdS9.html,,Sim,Tracção dianteira,,,"6,40 l/100km",100 g/km,,,,"4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Audi,A1 Sportback,Diesel,Outubro,2013,131 000 km,1 598 cm3,90 cv,Sim,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,13 500        EUR,8088956247,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-advance-ID8Pqr2f.html,1.6 TDI Advance,Sim,Tracção dianteira,,Sim,"4,40 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio Sport Tourer,Diesel,Agosto,2018,98 000 km,1 461 cm3,90 cv,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,13 990        EUR,8090540075,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-ID8Px53R.html,,Sim,Tracção dianteira,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Up!,Gasolina,Junho,2017,78 125 km,999 cm3,75 cv,Sim,Sim,Utilitário,Preto,,Manual,5,5,5,Classe 1,18 Meses,Nacional,,Sim,,Usados,10 990        EUR,8090473743,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PvNNZ.html,1.0 BlueMotion Move,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,DS3,Gasolina,Setembro,2013,110 000 km,1 598 cm3,155 cv,Sim,,Citadino,Cinzento,Metalizado,Manual,6,2,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,12 000        EUR,8087196344,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-cabrio-1-6-thp-sport-chic-ID8Pj3cI.html,Cabrio 1.6 THP Sport Chic,Sim,Tracção dianteira,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,SEAT,Ibiza,Gasolina,Março,2015,118 000 km,1 197 cm3,105 cv,Sim,,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,11 250        EUR,8088962472,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-fr-ID8PqsEE.html,1.2 TSI FR,Sim,Tracção dianteira,,,"6,50 l/100km",119 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,BMW,116,Diesel,Novembro,2014,119 227 km,1 598 cm3,116 cv,,,Utilitário,Preto,,Manual,6,3,5,,,Nacional,,,Sim,Usados,14 200        EUR,8090585570,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-ID8PxgTE.html,d EfficientDynamics,,Tracção traseira,,Sim,"4,40 l/100km",99 g/km,,,,"3,40 l/100km",10/11/2023,,Série 1,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,508 SW,Diesel,Setembro,2016,265 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,,,18 Meses,,Sim,Sim,Sim,Usados,13 500        EUR,8089102271,9 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-access-p-business-ID8Pr31t.html,1.6 BlueHDi Access P.Business,,,,,"4,70 l/100km",,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Ford,Fiesta,Diesel,Maio,2019,160 000 km,1 499 cm3,85 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,18 Meses,,Sim,Sim,Sim,Usados,14 500        EUR,8087996236,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-active-ID8Pmpic.html,1.5 TDCi Active+,,,,,,,,Sim,,,01/05/2025,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,508 SW,Diesel,Fevereiro,2012,224 000 km,1 560 cm3,115 cv,,,Carrinha,Cinzento,Metalizado,Automática,6,5,5,Classe 1,18 Meses,Importado,,Sim,Sim,Usados,9 990        EUR,8090267304,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-2-tronic-ID8PwV6k.html,1.6 e-HDi Active 2-Tronic,,Tracção dianteira,154 €,,"4,60 l/100km",105 g/km,1,,800 km,"3,70 l/100km",24/02/2024,,,1,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,2008,Diesel,Março,2014,162 000 km,1 560 cm3,115 cv,,,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,18 Meses,Importado,Sim,Sim,,Usados,11 965        EUR,8090607634,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-le-feline-ID8PxmDv.html,1.6 e-HDi LE Feline,,Tracção dianteira,,,"4,70 l/100km",105 g/km,1,,,"3,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,SEAT,Ibiza,Gasolina,Maio,2015,96 046 km,1 197 cm3,105 cv,Sim,,Utilitário,Branco,,Manual,,5,5,,36 Meses,Importado,Sim,Sim,Sim,Usados,12 750        EUR,8090452663,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-style-ID8PvIjZ.html,1.2 TSI Style,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Chevrolet,Spark,Gasolina,Junho,2010,115 000 km,995 cm3,68 cv,Sim,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,18 Meses,Nacional,,,Sim,Usados,5 750        EUR,8090585469,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-spark-1-0-ls-ID8PxgS1.html,1.0 LS,Sim,Tracção dianteira,,,"6,60 l/100km",119 g/km,,,,"4,20 l/100km",13/06/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Polo,Diesel,Janeiro,2016,335 000 km,1 422 cm3,75 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,9 990        EUR,8088735998,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-lounge-ID8PpwJQ.html,1.4 TDi Lounge,,Tracção dianteira,,,4 l/100km,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Fiat,Panda,Gasolina,Setembro,2019,47 238 km,1 242 cm3,69 cv,Sim,Sim,Pequeno citadino,Branco,,Manual,5,5,5,,18 Meses,Nacional,,,,Usados,12 950        EUR,8088589196,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-s-s-ID8PoTy4.html,1.2 Lounge S&S,,,,,"6,60 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Polo,Gasolina,Novembro,2011,141 537 km,1 390 cm3,180 cv,,,Citadino,Branco,Metalizado,Automática,7,3,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,13 990        EUR,8090604928,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tsi-gti-dsg-ID8PxlWS.html,1.4 TSi GTi DSG,,Tracção dianteira,,,"7,70 l/100km",139 g/km,,,,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,DS3,Gasolina,Abril,2015,140 000 km,1 598 cm3,155 cv,Sim,Sim,Cabrio,Azul,Metalizado,Manual,6,2,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,14 950        EUR,8089439623,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-cabrio-1-6-thp-sport-chic-ID8PssMD.html,Cabrio 1.6 THP Sport Chic,,Tracção dianteira,180 €,,,129 g/km,1,,,,30/04/2024,6 l/100km,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,VW,Golf Variant,Diesel,Junho,2014,116 113 km,1 598 cm3,105 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,,Sim,,Usados,13 900        EUR,8090485563,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-trendline-ID8PvQSD.html,1.6 TDi Trendline,Sim,,,Sim,,102 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,DS,DS3,Diesel,Junho,2011,192 368 km,1 560 cm3,112 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,3,5,Classe 1,18 Meses,Importado,,Sim,,Usados,11 500        EUR,8090485560,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds3-hdi-110-fap-sportchic-ID8PvQSA.html,HDi 110 FAP SportChic,Sim,,,Sim,,118 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Peugeot,2008,Diesel,Setembro,2015,168 880 km,1 560 cm3,120 cv,Sim,,SUV / TT,Preto,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 250        EUR,8090607939,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-allure-ID8PxmIr.html,1.6 BlueHDi Allure,Sim,,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C3,Diesel,Maio,2015,139 500 km,1 398 cm3,70 cv,Sim,Sim,Utilitário,Azul,,Manual,,5,5,Classe 1,18 Meses,,,Sim,,Usados,10 450        EUR,8089346610,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-4-hdi-exclusive-ID8Ps4Aq.html,1.4 HDi Exclusive,Sim,,"154,12 €",Sim,,95 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C3,Gasolina,Junho,2017,119 508 km,1 199 cm3,82 cv,Sim,,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Importado,,,Sim,Usados,11 490        EUR,8089859750,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8Pue4S.html,1.2 PureTech Feel,,Tracção dianteira,,,"5,80 l/100km",133 g/km,,,,"4,20 l/100km",,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Opel,Corsa,Diesel,Junho,2011,169 953 km,1 248 cm3,95 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Nacional,,Sim,Sim,Usados,7 000        EUR,8090374544,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-enjoy-ID8Pvo00.html,1.3 CDTi Enjoy,,Tracção dianteira,113 €,,"3,80 l/100km",87 g/km,,,,"3,10 l/100km",27/06/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
